ISO,Country Name,Region,Disaster Type,Disaster Subgroup,Disaster_Count
LTU,Lithuania,Europe,Extreme Temperature,Meteorological,8
PRK,North Korea,Asia,Storm,Meteorological,8
ETH,Ethiopia,Africa,Mass Movement,Hydrological,8
PRT,Portugal,Europe,Storm,Meteorological,8
MEX,Mexico,South America,Mass Movement,Hydrological,8
HRV,Croatia,Europe,Extreme Temperature,Meteorological,8
ECU,Ecuador,South America,Mass Movement,Hydrological,8
ZAF,South Africa,Africa,Wildfire,Climatological,8
ECU,Ecuador,South America,Earthquake,Geophysical,8
CRI,Costa Rica,South America,Storm,Meteorological,8
IDN,Indonesia,Asia,Epidemic,Biological,8
AFG,Afghanistan,Asia,Storm,Meteorological,8
PRY,Paraguay,South America,Storm,Meteorological,8
MDG,Madagascar,Africa,Drought,Climatological,8
NER,Niger,Africa,Drought,Climatological,8
COL,Colombia,South America,Volcanic Activity,Geophysical,8
CYM,Cayman Is.,South America,Storm,Meteorological,7
MWI,Malawi,Africa,Drought,Climatological,7
AFG,Afghanistan,Asia,Extreme Temperature,Meteorological,7
DZA,Algeria,Africa,Earthquake,Geophysical,7
NPL,Nepal,Asia,Extreme Temperature,Meteorological,7
GRC,Greece,Europe,Extreme Temperature,Meteorological,7
ZWE,Zimbabwe,Africa,Drought,Climatological,7
GUY,Guyana,South America,Flood,Hydrological,7
NPL,Nepal,Asia,Earthquake,Geophysical,7
DNK,Denmark,Europe,Storm,Meteorological,7
LSO,Lesotho,Africa,Drought,Climatological,7
EGY,Egypt,Africa,Flood,Hydrological,7
SLE,Sierra Leone,Africa,Epidemic,Biological,7
LVA,Latvia,Europe,Extreme Temperature,Meteorological,7
MAR,Morocco,Africa,Extreme Temperature,Meteorological,7
RUS,Russia,Europe,Earthquake,Geophysical,7
BRB,Barbados,South America,Storm,Meteorological,7
CHL,Chile,South America,Extreme Temperature,Meteorological,7
LBN,Lebanon,Asia,Storm,Meteorological,7
MNG,Mongolia,Asia,Extreme Temperature,Meteorological,7
FJI,Fiji,Oceania,Flood,Hydrological,7
MEX,Mexico,South America,Extreme Temperature,Meteorological,7
BOL,Bolivia,South America,Wildfire,Climatological,7
KOR,South Korea,Asia,Wildfire,Climatological,7
YEM,Yemen,Asia,Storm,Meteorological,7
MLI,Mali,Africa,Drought,Climatological,7
BDI,Burundi,Africa,Storm,Meteorological,7
URY,Uruguay,South America,Storm,Meteorological,6
IDN,Indonesia,Asia,Wildfire,Climatological,6
TZA,Tanzania,Africa,Earthquake,Geophysical,6
ZAF,South Africa,Africa,Epidemic,Biological,6
NGA,Nigeria,Africa,Storm,Meteorological,6
TUR,Turkey,Asia,Mass Movement,Hydrological,6
TUR,Turkey,Asia,Extreme Temperature,Meteorological,6
NAM,Namibia,Africa,Epidemic,Biological,6
NAM,Namibia,Africa,Drought,Climatological,6
OMN,Oman,Asia,Flood,Hydrological,6
MUS,Mauritius,Africa,Storm,Meteorological,6
PAN,Panama,South America,Storm,Meteorological,6
MRT,Mauritania,Africa,Drought,Climatological,6
PNG,Papua New Guinea,Oceania,Epidemic,Biological,6
PRI,Puerto Rico,South America,Flood,Hydrological,6
PRT,Portugal,Europe,Flood,Hydrological,6
MKD,Macedonia,Europe,Extreme Temperature,Meteorological,6
PRY,Paraguay,South America,Drought,Climatological,6
MDG,Madagascar,Africa,Epidemic,Biological,6
LSO,Lesotho,Africa,Storm,Meteorological,6
LKA,Sri Lanka,Asia,Epidemic,Biological,6
LBR,Liberia,Africa,Flood,Hydrological,6
SLV,El Salvador,South America,Earthquake,Geophysical,6
SLV,El Salvador,South America,Epidemic,Biological,6
SOM,Somalia,Africa,Storm,Meteorological,6
KGZ,Kyrgyzstan,Asia,Flood,Hydrological,6
KGZ,Kyrgyzstan,Asia,Earthquake,Geophysical,6
KEN,Kenya,Africa,Mass Movement,Hydrological,6
SVN,Slovenia,Europe,Flood,Hydrological,6
SYR,Syria,Asia,Storm,Meteorological,6
SEN,Senegal,Africa,Epidemic,Biological,6
AFG,Afghanistan,Asia,Drought,Climatological,6
DJI,Djibouti,Africa,Drought,Climatological,6
ALB,Albania,Europe,Extreme Temperature,Meteorological,6
ARG,Argentina,South America,Extreme Temperature,Meteorological,6
BGD,Bangladesh,Asia,Mass Movement,Hydrological,6
BGD,Bangladesh,Asia,Earthquake,Geophysical,6
EST,Estonia,Europe,Extreme Temperature,Meteorological,6
ARG,Argentina,South America,Wildfire,Climatological,6
CMR,Cameroon,Africa,Mass Movement,Hydrological,6
FRA,France,Europe,Wildfire,Climatological,6
GMB,Gambia,Africa,Storm,Meteorological,6
FSM,Micronesia,Oceania,Storm,Meteorological,6
CHL,Chile,South America,Storm,Meteorological,6
COD,Dem. Rep. Congo,Africa,Storm,Meteorological,6
BLR,Belarus,Europe,Extreme Temperature,Meteorological,6
ARM,Armenia,Asia,Storm,Meteorological,6
AGO,Angola,Africa,Drought,Climatological,6
BRA,Brazil,South America,Epidemic,Biological,6
UGA,Uganda,Africa,Drought,Climatological,5
TLS,Timor-Leste,Asia,Flood,Hydrological,5
UGA,Uganda,Africa,Storm,Meteorological,5
TZA,Tanzania,Africa,Drought,Climatological,5
TWN,Taiwan,Asia,Flood,Hydrological,5
CHN,China,Asia,Wildfire,Climatological,5
TUR,Turkey,Asia,Wildfire,Climatological,5
BFA,Burkina Faso,Africa,Drought,Climatological,5
COM,Comoros,Africa,Storm,Meteorological,5
ECU,Ecuador,South America,Epidemic,Biological,5
SWE,Sweden,Europe,Storm,Meteorological,5
CAN,Canada,North America,Extreme Temperature,Meteorological,5
MMR,Myanmar,Asia,Earthquake,Geophysical,5
BGR,Bulgaria,Europe,Wildfire,Climatological,5
SLB,Solomon Is.,Oceania,Flood,Hydrological,5
BOL,Bolivia,South America,Mass Movement,Hydrological,5
BOL,Bolivia,South America,Epidemic,Biological,5
SVK,Slovakia,Europe,Storm,Meteorological,5
SVN,Slovenia,Europe,Extreme Temperature,Meteorological,5
SVN,Slovenia,Europe,Storm,Meteorological,5
GAB,Gabon,Africa,Epidemic,Biological,5
RWA,Rwanda,Africa,Mass Movement,Hydrological,5
LKA,Sri Lanka,Asia,Drought,Climatological,5
LCA,St. Lucia,South America,Storm,Meteorological,5
RWA,Rwanda,Africa,Epidemic,Biological,5
RUS,Russia,Europe,Mass Movement,Hydrological,5
SYR,Syria,Asia,Flood,Hydrological,5
TCA,Turks and Caicos Is.,South America,Storm,Meteorological,5
TCD,Chad,Africa,Drought,Climatological,5
GTM,Guatemala,South America,Drought,Climatological,5
RUS,Russia,Europe,Epidemic,Biological,5
MYS,Malaysia,Asia,Storm,Meteorological,5
BDI,Burundi,Africa,Drought,Climatological,5
HUN,Hungary,Europe,Storm,Meteorological,5
CYP,Cyprus,Asia,Extreme Temperature,Meteorological,5
ITA,Italy,Europe,Drought,Climatological,5
GUM,Guam,Oceania,Storm,Meteorological,5
VEN,Venezuela,South America,Storm,Meteorological,5
ZAF,South Africa,Africa,Drought,Climatological,5
HRV,Croatia,Europe,Wildfire,Climatological,5
GTM,Guatemala,South America,Volcanic Activity,Geophysical,5
HND,Honduras,South America,Epidemic,Biological,5
NZL,New Zealand,Oceania,Earthquake,Geophysical,5
IRL,Ireland,Europe,Flood,Hydrological,5
VNM,Vietnam,Asia,Mass Movement,Hydrological,5
PER,Peru,South America,Epidemic,Biological,5
DOM,Dominican Rep.,South America,Epidemic,Biological,5
NPL,Nepal,Asia,Storm,Meteorological,5
VNM,Vietnam,Asia,Drought,Climatological,5
IND,India,Asia,Drought,Climatological,5
SYR,Syria,Asia,Wildfire,Climatological,4
ARG,Argentina,South America,Drought,Climatological,4
PSE,Palestine,Asia,Storm,Meteorological,4
BIH,Bosnia and Herz.,Europe,Extreme Temperature,Meteorological,4
THA,Thailand,Asia,Epidemic,Biological,4
WSM,Samoa,Oceania,Storm,Meteorological,4
GEO,Georgia,Asia,Storm,Meteorological,4
DMA,Dominica,South America,Storm,Meteorological,4
BGR,Bulgaria,Europe,Storm,Meteorological,4
CHE,Switzerland,Europe,Flood,Hydrological,4
